2020-02-12 03:24:36,b'RT @JuliePoirierTC: \xe2\x80\x9cIt makes a big difference when the Canadian consulate locally in Tokyo is reaching out on our behalf\xe2\x80\x9d... Of course! Es\xe2\x80\xa6'
2020-02-12 03:23:00,b'RT @nycmarathon: Which song is your jam when running the streets of NYC? Get into the New York mood and get ready to celebrate the 50th ann\xe2\x80\xa6'
2020-02-12 03:17:24,b'Thank you Coach Tatum and all the coaches involved with the Elite Talent Showcase.  I was awarded the middle school\xe2\x80\xa6 https://t.co/GHqEl0pteJ'
2020-02-12 03:15:56,b'@oddinsights_tcs At this point I\xe2\x80\x99d like to see Hillary run again. I would bet a dollar that if she threw her hat in\xe2\x80\xa6 https://t.co/VNz6ggLX2B'
2020-02-12 03:14:55,b'@crzyfkinworld Nope.'
2020-02-12 03:14:46,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:14:44,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:14:23,"b'Now 4 prosecutors have resigned. \n\nAnd one, tiny state in the northeast corner of the country is having an almost i\xe2\x80\xa6 https://t.co/tLLSV9V6Y5'"
2020-02-12 03:14:21,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:13:11,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:11:06,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:09:28,"b""RT @Aquabeadsuk: Keep kids entertained this #halfterm with a Beginners Studio!\n\nWe've got 3 to #giveaway, so just RT the post and FOLLOW us\xe2\x80\xa6"""
